"N.init","N","P","r","K"
1000,103.483852545565,0.2,0.01,1000
1000,0.0758021761139553,0.6,0.01,1000
1000,4.70771474500838e-05,1,0.01,1000
1000,882.502653981302,0.2,0.7,1000
1000,558.073890122512,0.6,0.7,1000
1000,22.0978974663311,1,0.7,1000
1000,945.435904515414,0.2,1.45,1000
1000,823.243369356143,0.6,1.45,1000
1000,673.459708454538,1,1.45,1000
500,29.4834972455773,0.2,0.01,1000
500,0.0189370108980491,0.6,0.01,1000
500,1.1614178554004e-05,1,0.01,1000
500,882.494132195099,0.2,0.7,1000
500,556.262823778632,0.6,0.7,1000
500,12.38033470189,1,0.7,1000
500,945.435904628913,0.2,1.45,1000
500,823.243370213205,0.6,1.45,1000
500,673.459543674708,1,1.45,1000
2,0.0608062415184287,0.2,0.01,1000
2,3.74829402903802e-05,0.6,0.01,1000
2,2.34802899538493e-08,1,0.01,1000
2,875.17662088312,0.2,0.7,1000
2,37.3432558044288,0.6,0.7,1000
2,0.0227883444774499,1,0.7,1000
2,945.435911019198,0.2,1.45,1000
2,823.242816402493,0.6,1.45,1000
2,672.898620698251,1,1.45,1000
1000,90.5719356109235,0.2,0.01,500
1000,0.0717841497799301,0.6,0.01,500
1000,4.53718537729216e-05,1,0.01,500
1000,416.936824555297,0.2,0.7,500
1000,191.208567930178,0.6,0.7,500
1000,3.94336270864563,1,0.7,500
1000,461.424208826487,0.2,1.45,500
1000,375.040383619176,0.6,1.45,500
1000,269.164412094954,1,1.45,500
500,28.0897854738446,0.2,0.01,500
500,0.0186168879895959,0.6,0.01,500
500,1.16020909417684e-05,1,0.01,500
500,416.93339100019,0.2,0.7,500
500,190.286835656011,0.6,0.7,500
500,3.19746333174722,1,0.7,500
500,461.424208855087,0.2,1.45,500
500,375.040383833154,0.6,1.45,500
500,269.164023019189,1,1.45,500
2,0.0607994772751679,0.2,0.01,500
2,3.74814581425046e-05,0.6,0.01,500
2,2.34719814357176e-08,1,0.01,500
2,414.731456610257,0.2,0.7,500
2,31.9364559392574,0.6,0.7,500
2,0.0226476571647846,1,0.7,500
2,461.424211240848,0.2,1.45,500
2,375.039961379003,0.6,1.45,500
2,268.73145971561,1,1.45,500
1000,43.6190383376224,0.2,0.01,100
1000,0.049898981126083,0.6,0.01,100
1000,3.58776810248651e-05,1,0.01,100
1000,76.1671466649244,0.2,0.7,100
1000,24.6048706802976,0.6,0.7,100
1000,0.424877938881518,1,0.7,100
1000,88.6741103004692,0.2,1.45,100
1000,64.9805617401714,0.6,1.45,100
1000,39.6577900091571,1,1.45,100
500,20.3139367477135,0.2,0.01,100
500,0.0163913215822141,0.6,0.01,100
500,1.07502562492781e-05,1,0.01,100
500,76.1669610675587,0.2,0.7,100
500,24.5743773056762,0.6,0.7,100
500,0.4107002361759,1,0.7,100
500,88.67411030223,0.2,1.45,100
500,64.9805615818819,0.6,1.45,100
500,39.6577536639891,1,1.45,100
2,0.0607454175073593,0.2,0.01,100
2,3.74697418170019e-05,0.6,0.01,100
2,2.34066151829523e-08,1,0.01,100
2,76.0725140972594,0.2,0.7,100
2,14.7858518804803,0.6,0.7,100
2,0.0215815451832826,1,0.7,100
2,88.6741105282985,0.2,1.45,100
2,64.9805282457115,0.6,1.45,100
2,39.6374268622043,1,1.45,100
1000,25.6600857852787,0.2,0.01,50
1000,0.0356347134479128,0.6,0.01,50
1000,2.83064104793459e-05,1,0.01,50
1000,37.4647511324511,0.2,0.7,50
1000,11.6279922120843,0.6,0.7,50
1000,0.197555562952297,1,0.7,50
1000,44.0005476226914,0.2,1.45,50
1000,31.7023201209281,0.6,1.45,50
1000,18.9700735057608,1,1.45,50
500,15.027259113336,0.2,0.01,50
500,0.014246646733372,0.6,0.01,50
500,9.83799353022677e-06,1,0.01,50
500,37.4647082290578,0.2,0.7,50
500,11.620882661625,0.6,0.7,50
500,0.194309536305713,1,0.7,50
500,44.0005476225627,0.2,1.45,50
500,31.7023201265611,0.6,1.45,50
500,18.9700646370156,1,1.45,50
2,0.0606779779696919,0.2,0.01,50
2,3.74724598605991e-05,0.6,0.01,50
2,2.53529009954587e-08,1,0.01,50
2,37.4414663324557,0.2,0.7,50
2,8.84395303074697,0.6,0.7,50
2,0.0203823531298818,1,0.7,50
2,44.000547691323,0.2,1.45,50
2,31.7023115082883,0.6,1.45,50
2,18.9652787546872,1,1.45,50
